time,.data
2018/04/01/18:14:31.337764,0.0
2018/04/01/18:14:31.362607,0.0090906592086
2018/04/01/18:14:31.388040,0.0370201133192
2018/04/01/18:14:31.406097,-0.209022924304
2018/04/01/18:14:31.431288,-0.0199973359704
2018/04/01/18:14:31.443159,-0.281771868467
2018/04/01/18:14:31.473023,-0.074859842658
2018/04/01/18:14:31.493760,-0.457833737135
2018/04/01/18:14:31.506335,-0.167253956199
2018/04/01/18:14:31.540379,-0.166753828526
2018/04/01/18:14:31.552302,-0.0743308961391
2018/04/01/18:14:31.581141,-0.0525830574334
2018/04/01/18:14:31.595322,-0.203045204282
2018/04/01/18:14:31.616225,-0.208056136966
2018/04/01/18:14:31.639234,-0.345157682896
2018/04/01/18:14:31.666859,-0.0954537317157
2018/04/01/18:14:31.687387,-0.163240283728
2018/04/01/18:14:31.698264,-0.203045204282
2018/04/01/18:14:31.731297,-0.328329384327
2018/04/01/18:14:31.748108,-0.108270585537
2018/04/01/18:14:31.760864,-0.163095295429
2018/04/01/18:14:31.791277,-0.037717949599
2018/04/01/18:14:31.813176,-0.086738333106
2018/04/01/18:14:31.837408,-0.0630741119385
2018/04/01/18:14:31.858664,-0.0751271471381
2018/04/01/18:14:31.900703,-0.134976759553
2018/04/01/18:14:31.909153,-0.39741808176
2018/04/01/18:14:31.923092,-0.0886558815837
2018/04/01/18:14:31.935775,-0.185945704579
2018/04/01/18:14:31.966037,-0.335324406624
2018/04/01/18:14:31.985795,-0.401870638132
2018/04/01/18:14:32.007203,-0.161375120282
2018/04/01/18:14:32.019306,-0.298498898745
2018/04/01/18:14:32.052584,-0.239231601357
2018/04/01/18:14:32.065745,-0.236023679376
2018/04/01/18:14:32.086807,-0.340978950262
2018/04/01/18:14:32.115385,-0.134976759553
2018/04/01/18:14:32.127024,-0.254624694586
2018/04/01/18:14:32.147237,-0.312042117119
2018/04/01/18:14:32.178209,-0.403281480074
2018/04/01/18:14:32.195961,-0.274909853935
2018/04/01/18:14:32.211777,-0.458930671215
2018/04/01/18:14:32.241228,-0.256708323956
2018/04/01/18:14:32.266814,-0.257323682308
2018/04/01/18:14:32.284891,-0.213560417295
2018/04/01/18:14:32.295197,-0.394791126251
2018/04/01/18:14:32.328086,-0.146666511893
2018/04/01/18:14:32.343178,-0.496968597174
2018/04/01/18:14:32.365689,-0.447074562311
2018/04/01/18:14:32.412852,-0.331096112728
2018/04/01/18:14:32.422989,-0.733897328377
2018/04/01/18:14:32.435187,-0.53172403574
2018/04/01/18:14:32.457228,-0.451069682837
2018/04/01/18:14:32.468861,-0.248709991574
2018/04/01/18:14:32.498998,-0.422386646271
2018/04/01/18:14:32.511073,-0.184684380889
2018/04/01/18:14:32.539110,-0.150746375322
2018/04/01/18:14:32.564650,-0.241355478764
2018/04/01/18:14:32.574797,-0.29544082284
2018/04/01/18:14:32.605885,-0.378427356482
2018/04/01/18:14:32.628250,-0.549853205681
2018/04/01/18:14:32.642441,-0.717541337013
2018/04/01/18:14:32.669614,-0.296115159988
2018/04/01/18:14:32.691834,-0.757368266582
2018/04/01/18:14:32.712166,-0.321750551462
2018/04/01/18:14:32.734501,-0.624023079872
2018/04/01/18:14:32.744405,-0.31763535738
2018/04/01/18:14:32.774624,-0.29544082284
2018/04/01/18:14:32.800768,-0.721654832363
2018/04/01/18:14:32.810556,-0.562737166882
2018/04/01/18:14:32.847588,-0.239743098617
2018/04/01/18:14:32.863279,-0.371708989143
2018/04/01/18:14:32.885554,-0.174672186375
2018/04/01/18:14:32.901431,-0.310598611832
2018/04/01/18:14:32.927766,-0.64940071106
2018/04/01/18:14:32.948551,-0.42877805233
2018/04/01/18:14:32.959023,-0.785398185253
2018/04/01/18:14:32.993996,-0.311717420816
2018/04/01/18:14:33.013438,-0.850523352623
2018/04/01/18:14:33.026267,-0.583870410919
2018/04/01/18:14:33.054808,-0.288587361574
2018/04/01/18:14:33.066234,-0.83798122406
2018/04/01/18:14:33.097947,-0.64940071106
2018/04/01/18:14:33.122658,-0.446105539799
2018/04/01/18:14:33.137764,-0.62879627943
2018/04/01/18:14:33.160826,-0.635026752949
2018/04/01/18:14:33.183403,-0.0587558224797
2018/04/01/18:14:33.197298,-0.671606123447
2018/04/01/18:14:33.214113,-0.115759216249
2018/04/01/18:14:33.243924,-0.457659691572
2018/04/01/18:14:33.268372,-0.0938412100077
2018/04/01/18:14:33.283363,-0.173901200294
2018/04/01/18:14:33.311950,-0.431400716305
