time,.data
2018/04/01/18:14:31.362734,-2.12745380402
2018/04/01/18:14:31.365353,-2.12745380402
2018/04/01/18:14:31.388440,-1.55771076679
2018/04/01/18:14:31.389482,-1.55771076679
2018/04/01/18:14:31.406225,-3.00427913666
2018/04/01/18:14:31.408823,-3.00427913666
2018/04/01/18:14:31.431411,-1.71523106098
2018/04/01/18:14:31.431638,-1.71523106098
2018/04/01/18:14:31.443251,-3.18822264671
2018/04/01/18:14:31.443452,-3.18822264671
2018/04/01/18:14:31.473133,-3.49525046349
2018/04/01/18:14:31.473222,-3.49525046349
2018/04/01/18:14:31.493888,-5.9483089447
2018/04/01/18:14:31.494033,-5.9483089447
2018/04/01/18:14:31.506425,-6.97097826004
2018/04/01/18:14:31.506475,-6.97097826004
2018/04/01/18:14:31.540393,-7.62826108932
2018/04/01/18:14:31.540430,-7.62826108932
2018/04/01/18:14:31.552179,-8.05414581299
2018/04/01/18:14:31.552279,-8.05414581299
2018/04/01/18:14:31.581294,-8.40750980377
2018/04/01/18:14:31.581350,-8.40750980377
2018/04/01/18:14:31.595496,-9.78298282623
2018/04/01/18:14:31.595518,-9.78298282623
2018/04/01/18:14:31.616358,-9.7774438858
2018/04/01/18:14:31.616364,-9.7774438858
2018/04/01/18:14:31.639307,-11.6404752731
2018/04/01/18:14:31.639329,-11.6404752731
2018/04/01/18:14:31.666983,-10.5729513168
2018/04/01/18:14:31.667042,-10.5729513168
2018/04/01/18:14:31.687551,-11.079334259
2018/04/01/18:14:31.687559,-11.079334259
2018/04/01/18:14:31.698380,-9.61950302124
2018/04/01/18:14:31.698491,-9.61950302124
2018/04/01/18:14:31.731582,-10.5423974991
2018/04/01/18:14:31.731653,-10.5423974991
2018/04/01/18:14:31.748299,-10.2073125839
2018/04/01/18:14:31.748369,-10.2073125839
2018/04/01/18:14:31.760921,-10.7158956528
2018/04/01/18:14:31.760929,-10.7158956528
2018/04/01/18:14:31.791407,-10.6307249069
2018/04/01/18:14:31.791425,-10.6307249069
2018/04/01/18:14:31.813300,-9.96433544159
2018/04/01/18:14:31.813420,-9.96433544159
2018/04/01/18:14:31.837292,-9.13364982605
2018/04/01/18:14:31.837516,-9.13364982605
2018/04/01/18:14:31.858773,-7.58648872375
2018/04/01/18:14:31.859030,-7.58648872375
2018/04/01/18:14:31.900707,-7.81293869019
2018/04/01/18:14:31.900732,-7.81293869019
2018/04/01/18:14:31.909304,-9.1546792984
2018/04/01/18:14:31.909415,-9.1546792984
2018/04/01/18:14:31.923260,-8.49927616119
2018/04/01/18:14:31.923281,-8.49927616119
2018/04/01/18:14:31.935742,-7.68347787857
2018/04/01/18:14:31.936095,-7.68347787857
2018/04/01/18:14:31.965730,-8.98440074921
2018/04/01/18:14:31.965919,-8.98440074921
2018/04/01/18:14:31.986014,-10.3524827957
2018/04/01/18:14:31.986020,-10.3524827957
2018/04/01/18:14:32.007214,-11.0609855652
2018/04/01/18:14:32.007255,-11.0609855652
2018/04/01/18:14:32.019376,-12.2742843628
