time,.data
2018/04/01/18:14:31.334280,886
2018/04/01/18:14:31.349688,872
2018/04/01/18:14:31.370042,919
2018/04/01/18:14:31.393939,878
2018/04/01/18:14:31.416428,888
2018/04/01/18:14:31.442235,891
2018/04/01/18:14:31.454218,872
2018/04/01/18:14:31.478754,896
2018/04/01/18:14:31.499465,859
2018/04/01/18:14:31.517693,839
2018/04/01/18:14:31.546475,896
2018/04/01/18:14:31.562341,855
2018/04/01/18:14:31.586658,885
2018/04/01/18:14:31.603251,845
2018/04/01/18:14:31.623853,884
2018/04/01/18:14:31.647280,877
2018/04/01/18:14:31.672903,884
2018/04/01/18:14:31.693125,847
2018/04/01/18:14:31.710587,857
2018/04/01/18:14:31.737006,872
2018/04/01/18:14:31.755710,866
2018/04/01/18:14:31.774433,871
2018/04/01/18:14:31.798689,887
2018/04/01/18:14:31.819836,881
2018/04/01/18:14:31.842833,877
2018/04/01/18:14:31.863917,871
2018/04/01/18:14:31.906187,871
2018/04/01/18:14:31.915460,866
2018/04/01/18:14:31.931061,877
2018/04/01/18:14:31.946322,883
2018/04/01/18:14:31.971056,830
2018/04/01/18:14:31.991463,857
2018/04/01/18:14:32.013031,858
2018/04/01/18:14:32.030570,859
2018/04/01/18:14:32.057990,863
2018/04/01/18:14:32.073325,863
2018/04/01/18:14:32.094321,859
2018/04/01/18:14:32.120954,867
2018/04/01/18:14:32.138563,878
2018/04/01/18:14:32.158993,854
2018/04/01/18:14:32.184794,875
2018/04/01/18:14:32.204032,828
2018/04/01/18:14:32.223167,890
2018/04/01/18:14:32.248677,824
2018/04/01/18:14:32.269120,813
2018/04/01/18:14:32.290194,873
2018/04/01/18:14:32.308838,973
2018/04/01/18:14:32.333963,858
2018/04/01/18:14:32.353248,1005
2018/04/01/18:14:32.409767,856
2018/04/01/18:14:32.418524,832
2018/04/01/18:14:32.428743,903
2018/04/01/18:14:32.442892,824
2018/04/01/18:14:32.464160,989
2018/04/01/18:14:32.480052,824
2018/04/01/18:14:32.504641,978
2018/04/01/18:14:32.524119,943
2018/04/01/18:14:32.546370,812
2018/04/01/18:14:32.574367,923
2018/04/01/18:14:32.586423,950
2018/04/01/18:14:32.614901,927
2018/04/01/18:14:32.635336,1021
2018/04/01/18:14:32.650801,1023
2018/04/01/18:14:32.675089,806
2018/04/01/18:14:32.697967,822
2018/04/01/18:14:32.717039,814
2018/04/01/18:14:32.740129,1023
