time,.data
2018/04/01/18:14:31.315400,585
2018/04/01/18:14:31.315484,585
2018/04/01/18:14:31.334433,573
2018/04/01/18:14:31.334528,573
2018/04/01/18:14:31.349542,581
2018/04/01/18:14:31.349580,581
2018/04/01/18:14:31.371659,591
2018/04/01/18:14:31.376678,591
2018/04/01/18:14:31.395914,584
2018/04/01/18:14:31.396012,584
2018/04/01/18:14:31.417926,578
2018/04/01/18:14:31.417989,578
2018/04/01/18:14:31.438437,554
2018/04/01/18:14:31.442496,554
2018/04/01/18:14:31.455687,569
2018/04/01/18:14:31.455752,569
2018/04/01/18:14:31.480308,578
2018/04/01/18:14:31.480359,578
2018/04/01/18:14:31.501131,558
2018/04/01/18:14:31.501143,558
2018/04/01/18:14:31.519011,549
2018/04/01/18:14:31.523097,549
2018/04/01/18:14:31.547857,578
2018/04/01/18:14:31.547868,578
2018/04/01/18:14:31.563872,552
2018/04/01/18:14:31.563887,552
2018/04/01/18:14:31.588081,560
2018/04/01/18:14:31.588094,560
2018/04/01/18:14:31.604672,559
2018/04/01/18:14:31.604798,559
2018/04/01/18:14:31.625178,562
2018/04/01/18:14:31.625219,562
2018/04/01/18:14:31.648448,546
2018/04/01/18:14:31.648789,546
2018/04/01/18:14:31.674267,572
2018/04/01/18:14:31.674680,572
2018/04/01/18:14:31.694692,559
2018/04/01/18:14:31.694717,559
2018/04/01/18:14:31.712226,555
2018/04/01/18:14:31.712660,555
2018/04/01/18:14:31.738392,560
2018/04/01/18:14:31.738765,560
2018/04/01/18:14:31.757121,561
2018/04/01/18:14:31.757195,561
2018/04/01/18:14:31.775787,557
2018/04/01/18:14:31.775839,557
2018/04/01/18:14:31.802348,579
2018/04/01/18:14:31.802389,579
2018/04/01/18:14:31.823011,555
2018/04/01/18:14:31.826324,555
2018/04/01/18:14:31.844289,568
2018/04/01/18:14:31.844411,568
2018/04/01/18:14:31.865456,566
2018/04/01/18:14:31.865489,566
2018/04/01/18:14:31.907911,568
2018/04/01/18:14:31.908028,568
2018/04/01/18:14:31.917041,562
2018/04/01/18:14:31.917109,562
2018/04/01/18:14:31.932627,550
2018/04/01/18:14:31.932914,550
2018/04/01/18:14:31.946887,568
2018/04/01/18:14:31.947094,568
2018/04/01/18:14:31.972489,560
2018/04/01/18:14:31.972583,560
2018/04/01/18:14:31.992801,553
2018/04/01/18:14:31.992811,553
2018/04/01/18:14:32.014329,557
2018/04/01/18:14:32.014339,557
2018/04/01/18:14:32.032357,552
2018/04/01/18:14:32.032371,552
2018/04/01/18:14:32.059369,559
2018/04/01/18:14:32.059402,559
2018/04/01/18:14:32.074837,552
2018/04/01/18:14:32.075023,552
2018/04/01/18:14:32.098284,557
2018/04/01/18:14:32.098460,557
2018/04/01/18:14:32.124985,557
2018/04/01/18:14:32.125491,557
2018/04/01/18:14:32.141227,544
2018/04/01/18:14:32.141478,544
2018/04/01/18:14:32.160322,553
2018/04/01/18:14:32.161115,553
2018/04/01/18:14:32.186237,558
2018/04/01/18:14:32.186378,558
2018/04/01/18:14:32.206473,514
2018/04/01/18:14:32.206508,514
2018/04/01/18:14:32.224865,567
2018/04/01/18:14:32.224943,567
2018/04/01/18:14:32.252350,515
2018/04/01/18:14:32.252359,515
2018/04/01/18:14:32.270943,540
2018/04/01/18:14:32.273966,540
2018/04/01/18:14:32.292114,554
2018/04/01/18:14:32.292241,554
2018/04/01/18:14:32.310141,673
2018/04/01/18:14:32.310336,673
2018/04/01/18:14:32.335803,555
2018/04/01/18:14:32.336198,555
2018/04/01/18:14:32.354580,640
2018/04/01/18:14:32.354590,640
2018/04/01/18:14:32.411245,533
2018/04/01/18:14:32.411255,533
2018/04/01/18:14:32.419842,543
2018/04/01/18:14:32.419995,543
2018/04/01/18:14:32.430312,581
2018/04/01/18:14:32.430326,581
2018/04/01/18:14:32.445299,512
2018/04/01/18:14:32.445331,512
2018/04/01/18:14:32.464141,634
2018/04/01/18:14:32.464386,634
2018/04/01/18:14:32.481552,516
2018/04/01/18:14:32.481557,516
2018/04/01/18:14:32.506715,632
2018/04/01/18:14:32.506735,632
2018/04/01/18:14:32.525107,615
2018/04/01/18:14:32.525282,615
2018/04/01/18:14:32.552634,538
2018/04/01/18:14:32.554533,538
2018/04/01/18:14:32.571980,615
2018/04/01/18:14:32.572290,615
2018/04/01/18:14:32.587741,713
2018/04/01/18:14:32.587803,713
2018/04/01/18:14:32.616452,627
2018/04/01/18:14:32.616464,627
2018/04/01/18:14:32.636550,678
2018/04/01/18:14:32.636561,678
2018/04/01/18:14:32.652460,721
2018/04/01/18:14:32.652509,721
2018/04/01/18:14:32.676326,565
2018/04/01/18:14:32.676395,565
2018/04/01/18:14:32.699232,562
2018/04/01/18:14:32.699499,562
2018/04/01/18:14:32.718616,560
2018/04/01/18:14:32.718628,560
2018/04/01/18:14:32.741678,711
2018/04/01/18:14:32.742733,711
2018/04/01/18:14:32.761958,591
2018/04/01/18:14:32.761965,591
2018/04/01/18:14:32.786791,795
2018/04/01/18:14:32.786941,795
2018/04/01/18:14:32.807830,564
2018/04/01/18:14:32.807869,564
2018/04/01/18:14:32.823353,543
2018/04/01/18:14:32.823363,543
2018/04/01/18:14:32.854961,559
2018/04/01/18:14:32.855007,559
2018/04/01/18:14:32.870106,889
2018/04/01/18:14:32.870115,889
2018/04/01/18:14:32.892153,547
2018/04/01/18:14:32.892242,547
2018/04/01/18:14:32.911420,554
2018/04/01/18:14:32.911474,554
2018/04/01/18:14:32.935266,554
2018/04/01/18:14:32.935280,554
