time,.data
2018/04/01/18:14:31.325196,7.44942760468
2018/04/01/18:14:31.325673,7.44942760468
2018/04/01/18:14:31.343834,7.45166683197
2018/04/01/18:14:31.343846,7.45166683197
2018/04/01/18:14:31.365805,7.45424127579
2018/04/01/18:14:31.366084,7.45424127579
2018/04/01/18:14:31.391844,7.45674800873
2018/04/01/18:14:31.391873,7.45674800873
2018/04/01/18:14:31.409210,7.45885133743
2018/04/01/18:14:31.409734,7.45885133743
2018/04/01/18:14:31.434287,7.46064805984
2018/04/01/18:14:31.435785,7.46064805984
2018/04/01/18:14:31.451751,7.46259784698
2018/04/01/18:14:31.451817,7.46259784698
2018/04/01/18:14:31.475909,7.46527004242
2018/04/01/18:14:31.477765,7.46527004242
2018/04/01/18:14:31.496810,7.46869468689
2018/04/01/18:14:31.496873,7.46869468689
2018/04/01/18:14:31.515186,7.47269964218
2018/04/01/18:14:31.515313,7.47269964218
2018/04/01/18:14:31.545732,7.47694587708
2018/04/01/18:14:31.545920,7.47694587708
2018/04/01/18:14:31.559453,7.48102140427
2018/04/01/18:14:31.559766,7.48102140427
2018/04/01/18:14:31.583966,7.48514413834
2018/04/01/18:14:31.584268,7.48514413834
2018/04/01/18:14:31.598788,7.48930835724
2018/04/01/18:14:31.598798,7.48930835724
2018/04/01/18:14:31.619346,7.49282503128
2018/04/01/18:14:31.619452,7.49282503128
2018/04/01/18:14:31.642190,7.49531316757
2018/04/01/18:14:31.642311,7.49531316757
2018/04/01/18:14:31.670342,7.49715280533
2018/04/01/18:14:31.670557,7.49715280533
2018/04/01/18:14:31.690461,7.49904537201
2018/04/01/18:14:31.690476,7.49904537201
2018/04/01/18:14:31.705870,7.49971008301
2018/04/01/18:14:31.706021,7.49971008301
2018/04/01/18:14:31.734113,7.49616384506
2018/04/01/18:14:31.734157,7.49616384506
2018/04/01/18:14:31.751235,7.48883247375
2018/04/01/18:14:31.751511,7.48883247375
2018/04/01/18:14:31.770274,7.48105192184
2018/04/01/18:14:31.770287,7.48105192184
2018/04/01/18:14:31.794755,7.47462558746
2018/04/01/18:14:31.795129,7.47462558746
2018/04/01/18:14:31.816234,7.47011137009
2018/04/01/18:14:31.816602,7.47011137009
2018/04/01/18:14:31.840082,7.4672627449
2018/04/01/18:14:31.840177,7.4672627449
2018/04/01/18:14:31.861373,7.46541452408
2018/04/01/18:14:31.861678,7.46541452408
2018/04/01/18:14:31.903693,7.46443080902
2018/04/01/18:14:31.903809,7.46443080902
2018/04/01/18:14:31.912587,7.46399784088
2018/04/01/18:14:31.912685,7.46399784088
2018/04/01/18:14:31.926790,7.46372127533
2018/04/01/18:14:31.927288,7.46372127533
2018/04/01/18:14:31.943343,7.4634552002
2018/04/01/18:14:31.943666,7.4634552002
2018/04/01/18:14:31.968469,7.463139534
2018/04/01/18:14:31.968512,7.463139534
2018/04/01/18:14:31.988839,7.46316051483
2018/04/01/18:14:31.988876,7.46316051483
2018/04/01/18:14:32.010472,7.46371173859
2018/04/01/18:14:32.010507,7.46371173859
2018/04/01/18:14:32.028145,7.46426296234
2018/04/01/18:14:32.028186,7.46426296234
2018/04/01/18:14:32.055567,7.46449565887
2018/04/01/18:14:32.055571,7.46449565887
2018/04/01/18:14:32.068686,7.46439599991
2018/04/01/18:14:32.068700,7.46439599991
2018/04/01/18:14:32.090059,7.46439266205
2018/04/01/18:14:32.090407,7.46439266205
2018/04/01/18:14:32.118377,7.46527910233
2018/04/01/18:14:32.118426,7.46527910233
2018/04/01/18:14:32.136269,7.4673333168
2018/04/01/18:14:32.136277,7.4673333168
2018/04/01/18:14:32.156187,7.46983718872
2018/04/01/18:14:32.156213,7.46983718872
2018/04/01/18:14:32.181300,7.47181034088
2018/04/01/18:14:32.181312,7.47181034088
2018/04/01/18:14:32.199146,7.47306156158
2018/04/01/18:14:32.199159,7.47306156158
2018/04/01/18:14:32.220690,7.47406387329
2018/04/01/18:14:32.220884,7.47406387329
2018/04/01/18:14:32.246307,7.4750919342
2018/04/01/18:14:32.246488,7.4750919342
2018/04/01/18:14:32.267045,7.47550439835
2018/04/01/18:14:32.267584,7.47550439835
2018/04/01/18:14:32.287594,7.47813367844
2018/04/01/18:14:32.287921,7.47813367844
2018/04/01/18:14:32.304242,7.48724794388
2018/04/01/18:14:32.307201,7.48724794388
2018/04/01/18:14:32.331260,7.50147247314
2018/04/01/18:14:32.331275,7.50147247314
2018/04/01/18:14:32.346346,7.51815128326
2018/04/01/18:14:32.346801,7.51815128326
2018/04/01/18:14:32.369098,7.53514957428
2018/04/01/18:14:32.369107,7.53514957428
2018/04/01/18:14:32.415867,7.54924440384
2018/04/01/18:14:32.418253,7.54924440384
2018/04/01/18:14:32.426264,7.55889940262
2018/04/01/18:14:32.426271,7.55889940262
2018/04/01/18:14:32.438143,7.56426239014
2018/04/01/18:14:32.438149,7.56426239014
2018/04/01/18:14:32.460110,7.56583023071
2018/04/01/18:14:32.460173,7.56583023071
2018/04/01/18:14:32.477194,7.56581544876
2018/04/01/18:14:32.477233,7.56581544876
2018/04/01/18:14:32.502143,7.56628131866
2018/04/01/18:14:32.502221,7.56628131866
2018/04/01/18:14:32.520832,7.56620836258
2018/04/01/18:14:32.520938,7.56620836258
2018/04/01/18:14:32.542554,7.56419277191
2018/04/01/18:14:32.542675,7.56419277191
2018/04/01/18:14:32.567814,7.56319332123
2018/04/01/18:14:32.568185,7.56319332123
2018/04/01/18:14:32.583748,7.56604623795
2018/04/01/18:14:32.583759,7.56604623795
2018/04/01/18:14:32.608787,7.57208251953
