time,.data
2018/04/01/18:14:31.307539,209
2018/04/01/18:14:31.327298,209
2018/04/01/18:14:31.345497,208
2018/04/01/18:14:31.367011,209
2018/04/01/18:14:31.395571,209
2018/04/01/18:14:31.410108,209
2018/04/01/18:14:31.435608,209
2018/04/01/18:14:31.452877,209
2018/04/01/18:14:31.477361,186
2018/04/01/18:14:31.497951,186
2018/04/01/18:14:31.516176,209
2018/04/01/18:14:31.545931,186
2018/04/01/18:14:31.560548,184
2018/04/01/18:14:31.585037,184
2018/04/01/18:14:31.605136,208
2018/04/01/18:14:31.622514,209
2018/04/01/18:14:31.645482,208
2018/04/01/18:14:31.671060,184
2018/04/01/18:14:31.691528,184
2018/04/01/18:14:31.707052,209
2018/04/01/18:14:31.735462,209
2018/04/01/18:14:31.752219,209
2018/04/01/18:14:31.770985,208
2018/04/01/18:14:31.795848,184
2018/04/01/18:14:31.818423,186
2018/04/01/18:14:31.841546,209
2018/04/01/18:14:31.862556,184
2018/04/01/18:14:31.904749,209
2018/04/01/18:14:31.914153,209
2018/04/01/18:14:31.929377,208
2018/04/01/18:14:31.944215,209
2018/04/01/18:14:31.969633,209
2018/04/01/18:14:31.990291,184
2018/04/01/18:14:32.011440,209
2018/04/01/18:14:32.029180,209
2018/04/01/18:14:32.056417,209
2018/04/01/18:14:32.071494,208
2018/04/01/18:14:32.092888,184
2018/04/01/18:14:32.119460,209
2018/04/01/18:14:32.137158,230
2018/04/01/18:14:32.157356,209
2018/04/01/18:14:32.183427,230
2018/04/01/18:14:32.200610,209
2018/04/01/18:14:32.221669,205
2018/04/01/18:14:32.247292,209
2018/04/01/18:14:32.267665,209
2018/04/01/18:14:32.288679,230
2018/04/01/18:14:32.307049,209
2018/04/01/18:14:32.332628,208
2018/04/01/18:14:32.353261,520
2018/04/01/18:14:32.408337,207
2018/04/01/18:14:32.418532,209
2018/04/01/18:14:32.427201,562
2018/04/01/18:14:32.441274,209
2018/04/01/18:14:32.464015,322
2018/04/01/18:14:32.478558,209
2018/04/01/18:14:32.503265,229
2018/04/01/18:14:32.521839,276
2018/04/01/18:14:32.543647,209
2018/04/01/18:14:32.568962,253
2018/04/01/18:14:32.585397,208
2018/04/01/18:14:32.614232,229
2018/04/01/18:14:32.633884,743
2018/04/01/18:14:32.648964,611
2018/04/01/18:14:32.673645,267
2018/04/01/18:14:32.696266,1061
2018/04/01/18:14:32.715779,226
2018/04/01/18:14:32.738785,629
2018/04/01/18:14:32.754910,272
2018/04/01/18:14:32.781577,272
2018/04/01/18:14:32.804792,675
2018/04/01/18:14:32.819900,253
2018/04/01/18:14:32.851731,989
2018/04/01/18:14:32.867400,229
2018/04/01/18:14:32.890251,229
2018/04/01/18:14:32.905603,228
2018/04/01/18:14:32.932309,1058
2018/04/01/18:14:32.952490,243
2018/04/01/18:14:32.988500,830
2018/04/01/18:14:32.998633,267
2018/04/01/18:14:33.017213,670
2018/04/01/18:14:33.033511,625
2018/04/01/18:14:33.058649,241
2018/04/01/18:14:33.077864,510
2018/04/01/18:14:33.102465,239
2018/04/01/18:14:33.127074,697
2018/04/01/18:14:33.142312,260
2018/04/01/18:14:33.165634,266
2018/04/01/18:14:33.187369,242
2018/04/01/18:14:33.205308,242
2018/04/01/18:14:33.224593,239
2018/04/01/18:14:33.250326,1301
2018/04/01/18:14:33.272437,235
2018/04/01/18:14:33.289698,237
2018/04/01/18:14:33.316065,449
2018/04/01/18:14:33.337196,234
2018/04/01/18:14:33.359787,455
2018/04/01/18:14:33.373737,209
2018/04/01/18:14:33.400485,250
2018/04/01/18:14:33.417354,225
2018/04/01/18:14:33.444176,228
2018/04/01/18:14:33.464590,229
2018/04/01/18:14:33.486008,204
2018/04/01/18:14:33.508303,229
2018/04/01/18:14:33.529666,276
2018/04/01/18:14:33.550481,229
2018/04/01/18:14:33.571434,228
2018/04/01/18:14:33.589905,208
2018/04/01/18:14:33.613481,208
2018/04/01/18:14:33.636461,255
2018/04/01/18:14:33.654320,364
2018/04/01/18:14:33.679348,339
2018/04/01/18:14:33.699348,314
2018/04/01/18:14:33.721394,314
2018/04/01/18:14:33.748733,293
2018/04/01/18:14:33.764657,316
2018/04/01/18:14:33.786622,291
2018/04/01/18:14:33.805773,291
2018/04/01/18:14:33.825094,270
2018/04/01/18:14:33.848552,268
2018/04/01/18:14:33.871030,270
2018/04/01/18:14:33.893023,245
2018/04/01/18:14:33.915788,245
2018/04/01/18:14:33.935077,224
2018/04/01/18:14:33.954666,245
2018/04/01/18:14:33.978935,245
2018/04/01/18:14:34.000479,271
2018/04/01/18:14:34.020418,272
2018/04/01/18:14:34.043040,247
2018/04/01/18:14:34.066666,225
2018/04/01/18:14:34.082925,226
2018/04/01/18:14:34.104700,247
2018/04/01/18:14:34.126946,247
2018/04/01/18:14:34.142899,272
2018/04/01/18:14:34.171768,270
2018/04/01/18:14:34.192129,247
2018/04/01/18:14:34.212991,246
2018/04/01/18:14:34.232562,272
2018/04/01/18:14:34.255211,272
2018/04/01/18:14:34.272687,251
2018/04/01/18:14:34.298698,251
2018/04/01/18:14:34.317783,271
2018/04/01/18:14:34.341556,247
2018/04/01/18:14:34.359030,225
2018/04/01/18:14:34.378952,247
2018/04/01/18:14:34.404485,247
2018/04/01/18:14:34.423153,247
2018/04/01/18:14:34.443361,270
2018/04/01/18:14:34.464696,243
2018/04/01/18:14:34.489288,291
2018/04/01/18:14:34.508178,292
2018/04/01/18:14:34.532818,293
2018/04/01/18:14:34.554437,270
2018/04/01/18:14:34.575087,246
2018/04/01/18:14:34.596786,247
2018/04/01/18:14:34.613482,225
2018/04/01/18:14:34.639713,247
2018/04/01/18:14:34.661621,224
2018/04/01/18:14:34.678138,224
2018/04/01/18:14:34.703141,267
2018/04/01/18:14:34.720487,316
2018/04/01/18:14:34.744449,314
2018/04/01/18:14:34.767348,272
2018/04/01/18:14:34.785386,249
2018/04/01/18:14:34.811153,225
2018/04/01/18:14:34.831183,225
2018/04/01/18:14:34.854041,247
2018/04/01/18:14:34.872969,247
2018/04/01/18:14:34.919414,247
2018/04/01/18:14:34.930254,270
2018/04/01/18:14:34.937111,272
2018/04/01/18:14:34.954981,226
2018/04/01/18:14:34.975481,247
2018/04/01/18:14:35.001499,225
2018/04/01/18:14:35.025983,247
2018/04/01/18:14:35.047812,247
2018/04/01/18:14:35.064194,226
2018/04/01/18:14:35.089288,225
2018/04/01/18:14:35.108110,226
2018/04/01/18:14:35.138294,250
2018/04/01/18:14:35.151924,250
2018/04/01/18:14:35.173196,251
2018/04/01/18:14:35.194703,225
2018/04/01/18:14:35.214634,249
2018/04/01/18:14:35.236611,250
2018/04/01/18:14:35.259329,272
2018/04/01/18:14:35.280142,272
2018/04/01/18:14:35.295717,272
2018/04/01/18:14:35.320655,250
2018/04/01/18:14:35.345146,250
2018/04/01/18:14:35.363377,225
2018/04/01/18:14:35.382215,250
2018/04/01/18:14:35.406890,250
2018/04/01/18:14:35.428169,250
2018/04/01/18:14:35.453252,250
2018/04/01/18:14:35.471675,250
2018/04/01/18:14:35.489402,250
2018/04/01/18:14:35.511056,275
2018/04/01/18:14:35.539826,254
2018/04/01/18:14:35.556753,250
2018/04/01/18:14:35.579374,250
2018/04/01/18:14:35.597865,229
2018/04/01/18:14:35.621636,250
2018/04/01/18:14:35.642197,229
2018/04/01/18:14:35.664396,229
2018/04/01/18:14:35.685901,250
2018/04/01/18:14:35.703679,272
2018/04/01/18:14:35.726458,271
2018/04/01/18:14:35.749171,272
2018/04/01/18:14:35.767507,272
2018/04/01/18:14:35.791954,297
2018/04/01/18:14:35.817562,250
2018/04/01/18:14:35.834226,250
2018/04/01/18:14:35.858545,250
2018/04/01/18:14:35.874822,250
2018/04/01/18:14:35.898908,249
2018/04/01/18:14:35.914983,250
2018/04/01/18:14:35.938566,250
2018/04/01/18:14:35.960708,250
2018/04/01/18:14:35.986011,271
2018/04/01/18:14:36.002302,247
2018/04/01/18:14:36.027334,247
2018/04/01/18:14:36.051500,270
2018/04/01/18:14:36.069996,268
2018/04/01/18:14:36.088037,270
2018/04/01/18:14:36.109498,247
2018/04/01/18:14:36.130825,225
2018/04/01/18:14:36.151448,247
2018/04/01/18:14:36.171212,247
2018/04/01/18:14:36.200143,246
2018/04/01/18:14:36.220342,249
2018/04/01/18:14:36.240282,247
2018/04/01/18:14:36.259194,247
2018/04/01/18:14:36.281883,247
2018/04/01/18:14:36.300726,247
2018/04/01/18:14:36.327173,247
2018/04/01/18:14:36.348299,247
2018/04/01/18:14:36.368610,247
2018/04/01/18:14:36.391047,247
2018/04/01/18:14:36.413315,247
2018/04/01/18:14:36.433312,247
